raceId,driverId,milliseconds
866,10,25520
866,13,42243
866,17,42453
866,18,64956
866,20,44067
866,30,44331
866,154,21830
866,155,21453
866,807,48243
866,808,43291
866,811,22781
866,813,22704
866,814,43223
866,815,21407
866,817,43247
866,818,60082
866,819,23291
867,1,50436
867,3,40740
867,4,40507
867,5,45485
867,8,42982
867,13,100141
867,17,40468
867,18,39886
867,20,40380
867,30,40518
867,37,46252
867,39,64080
867,154,43662
867,155,48790
867,807,41530
867,808,94157
867,811,43099
867,813,42867
867,814,20295
867,815,41936
867,817,43806
867,818,21303
867,819,54474
868,1,49501
868,3,58718
868,4,50370
868,5,52630
868,8,51452
868,10,51406
868,13,50435
868,17,51033
868,18,49900
868,20,51148
868,30,51490
868,37,27715
868,39,57852
868,154,59589
868,155,66053
868,807,51504
868,811,52556
868,813,58698
868,814,32790
868,815,25192
868,817,51239
868,818,52689
868,819,52477
869,1,57487
869,3,55030
869,4,35512
869,5,86407
869,8,35737
869,10,40351
869,13,61866
869,17,35543
869,18,34698
869,20,35371
869,30,54588
869,37,40514
869,39,38917
869,154,75897
869,155,38081
869,807,55093
869,808,56479
869,811,85077
869,813,56941
869,814,35867
869,815,36342
869,817,36364
869,818,57275
869,819,37212
870,1,39495
870,3,40984
870,4,39034
870,5,63202
870,8,39859
870,10,41720
870,13,39898
870,17,58172
870,18,58846
870,20,57675
870,30,55038
870,37,44209
870,39,43290
870,154,42382
870,155,40299
870,807,41343
870,808,62177
870,811,40817
870,813,53265
870,814,40812
870,815,40536
870,817,60167
870,818,79465
870,819,42293
871,3,41596
871,5,74137
871,8,40672
871,10,43123
871,13,41355
871,17,41293
871,18,19668
871,20,20811
871,30,42499
871,37,76198
871,39,46476
871,155,71023
871,807,42848
871,808,47152
871,811,43720
871,813,21842
871,814,42517
871,817,41347
871,818,41737
871,819,21611
872,1,20736
872,3,44200
872,4,21515
872,5,44647
872,8,21730
872,10,51328
872,13,22161
872,17,21556
872,18,23375
872,20,37311
872,30,44557
872,37,23488
872,39,31745
872,155,22874
872,807,22746
872,808,44993
872,811,22985
872,813,44784
872,814,22190
872,815,22472
872,816,21962
872,817,21720
872,819,46085
873,1,29124
873,3,59233
873,4,58747
873,5,90771
873,8,59039
873,10,62992
873,13,90816
873,17,87985
873,18,59681
873,20,60254
873,30,61217
873,37,109768
873,39,32436
873,154,63833
873,155,97681
873,807,95577
873,808,138048
873,811,91829
873,813,91755
873,814,61055
873,815,60260
873,817,60781
873,818,60397
873,819,61481
874,1,40942
874,5,45494
874,8,42123
874,10,42182
874,13,41714
874,17,53153
874,18,41332
874,20,40854
874,30,41022
874,37,48774
874,39,23227
874,154,83265
874,155,41545
874,807,42695
874,808,56985
874,811,84764
874,813,42479
874,814,42407
874,815,21273
874,817,43460
874,818,43959
874,819,63848
875,1,59862
875,4,40020
875,5,43385
875,8,41223
875,10,42828
875,13,41462
875,17,39427
875,20,39631
875,30,40363
875,39,22749
875,154,42616
875,155,46989
875,807,43107
875,808,43859
875,811,44699
875,813,21137
875,814,41023
875,815,45175
875,817,40955
875,818,42053
875,819,43321
876,1,20852
876,3,21490
876,4,20800
876,5,22967
876,8,21404
876,10,27303
876,13,21100
876,17,20808
876,18,21509
876,20,20707
876,30,46358
876,37,23830
876,39,24544
876,154,20976
876,155,22726
876,807,21654
876,808,22445
876,811,22047
876,813,50056
876,814,23948
876,815,45844
876,817,22637
876,818,46755
876,819,22692
877,3,29277
877,4,19368
877,5,23032
877,8,20278
877,10,19884
877,13,19585
877,17,19066
877,18,19455
877,20,44880
877,30,40971
877,37,22272
877,154,47074
877,155,19529
877,808,20769
877,811,22587
877,813,20723
877,814,66764
877,815,79775
877,817,41353
877,818,40204
877,819,21941
878,1,20814
878,3,21346
878,4,24439
878,5,22713
878,8,24840
878,10,23092
878,13,21520
878,18,21445
878,20,20904
878,30,43560
878,37,24798
878,39,24497
878,154,21190
878,155,24079
878,807,22099
878,808,22762
878,811,22143
878,813,22342
878,814,44942
878,815,22079
878,817,22651
878,819,22379
879,1,46016
879,3,100854
879,4,67334
879,5,129292
879,8,76581
879,10,93053
879,13,66703
879,17,65365
879,18,43006
879,20,93201
879,30,92536
879,37,102245
879,39,104957
879,155,84343
879,807,57725
879,808,73185
879,814,72089
879,817,110360
879,818,91701
879,819,70255
880,1,65948
880,3,22274
880,4,65102
880,8,44890
880,13,64774
880,16,45442
880,17,67472
880,18,67391
880,20,66107
880,154,66906
880,813,23099
880,814,46061
880,815,67386
880,817,47612
880,818,70922
880,819,46903
880,820,90350
880,821,44631
880,822,70803
880,823,71855
880,824,69427
881,1,89218
881,3,86423
881,8,70485
881,13,86569
881,16,127234
881,17,83396
881,18,148309
881,20,84713
881,154,66302
881,807,90522
881,813,80001
881,814,166837
