raceId,driverId,average_qualifying_time
35,18,72810.0
35,20,72439.0
35,21,73426.0
35,22,72843.5
36,1,86335.33333333333
36,2,86269.66666666667
36,3,87255.0
36,4,86172.0
36,5,87246.5
36,8,86120.0
36,9,86641.66666666667
36,11,87664.66666666667
36,13,86712.0
36,14,88579.0
36,15,87368.66666666667
36,16,89339.0
36,17,87178.33333333333
36,18,87402.0
36,19,86947.5
36,21,86949.33333333333
36,22,87679.0
36,23,87586.33333333333
36,24,89267.0
36,25,87436.0
36,26,88305.0
36,27,91932.0
37,1,95241.0
37,2,95787.66666666667
37,3,95988.0
37,4,94769.66666666667
37,5,95861.0
37,8,95101.33333333333
37,9,95624.0
37,11,96187.5
37,13,94945.66666666667
37,14,95748.0
37,15,95941.0
37,16,98415.0
37,17,96217.0
37,18,96000.5
37,19,96816.0
37,21,95792.5
37,22,96827.0
37,23,96136.33333333333
37,24,96142.5
37,25,97326.0
37,26,96578.0
37,27,98279.0
38,1,92422.33333333333
38,2,92907.33333333333
38,3,93521.0
38,4,92818.33333333333
38,5,93201.0
38,8,92701.33333333333
38,9,93116.66666666667
38,11,93984.0
38,13,92151.33333333333
38,14,95341.0
38,15,93267.0
38,16,95280.0
38,17,93470.0
38,18,93849.0
38,19,93190.5
38,21,93500.33333333333
38,22,93700.0
38,23,93608.5
38,24,94024.0
38,25,93337.0
38,26,94333.0
38,27,95533.0
39,1,81206.0
39,2,81709.0
39,3,81955.5
39,4,81285.66666666667
39,5,81993.66666666667
39,8,81422.0
39,9,81858.33333333333
39,11,82102.5
39,13,81131.0
39,14,82242.66666666667
39,15,82126.33333333333
39,16,83811.0
39,17,83398.0
39,18,82311.5
39,19,82295.0
39,21,82207.33333333333
39,22,82299.5
39,23,82666.0
39,24,82508.0
39,25,82769.0
39,26,
39,27,83990.0
40,1,75689.66666666667
40,2,76650.0
40,3,76469.66666666667
40,4,75738.66666666667
40,5,77480.5
40,8,76251.0
40,9,76705.0
40,11,78554.0
40,13,76262.33333333333
40,14,76761.5
40,15,77337.0
40,16,78418.0
40,17,77006.66666666667
40,18,77231.0
40,19,78250.0
40,21,76645.0
40,22,77065.33333333333
40,23,78539.0
40,24,76711.5
40,25,77268.0
40,26,78390.0
40,27,
41,1,75923.0
41,2,76410.66666666667
41,3,76708.33333333333
41,4,76082.33333333333
41,5,77806.0
41,8,76490.33333333333
41,9,76876.0
41,11,77116.5
41,13,76488.0
41,14,77370.0
41,15,77223.66666666667
41,16,78536.0
41,17,76828.33333333333
41,18,77531.5
41,19,77542.0
41,21,76774.0
41,22,77063.5
41,23,77634.0
41,24,77150.5
41,25,78089.0
41,26,77502.0
41,27,79196.0
42,1,72319.66666666667
42,2,72526.0
42,3,73094.0
42,4,72280.66666666667
42,5,72968.33333333333
