raceId,driverId,totalPitStops,totalPitTime,averagePitTime
847,808,2,47961,23980.5
847,813,5,127508,25501.6
847,814,4,88776,22194.0
847,816,5,124547,24909.4
848,1,3,61587,20529.0
848,2,3,65871,21957.0
848,3,3,65497,21832.333333333332
848,4,3,62164,20721.333333333332
848,5,3,66999,22333.0
848,10,2,43930,21965.0
848,13,3,66659,22219.666666666668
848,15,2,45458,22729.0
848,16,3,61998,20666.0
848,17,3,61151,20383.666666666668
848,18,3,61801,20600.333333333332
848,20,3,61778,20592.666666666668
848,22,3,63711,21237.0
848,24,3,69460,23153.333333333332
848,30,3,73034,24344.666666666668
848,39,3,78764,26254.666666666668
848,67,3,62776,20925.333333333332
848,153,2,42494,21247.0
848,155,2,44037,22018.5
848,808,3,64377,21459.0
848,813,3,64596,21532.0
848,814,3,62454,20818.0
848,815,1,21939,21939.0
848,816,2,44193,22096.5
849,1,3,72505,24168.333333333332
849,2,2,49150,24575.0
849,3,2,49121,24560.5
849,4,3,74014,24671.333333333332
849,10,2,50375,25187.5
849,13,3,71326,23775.333333333332
849,16,3,77054,25684.666666666668
849,17,3,73248,24416.0
849,18,3,72649,24216.333333333332
849,20,3,79513,26504.333333333332
849,22,2,49815,24907.5
849,24,2,52148,26074.0
849,30,3,86644,28881.333333333332
849,67,2,50899,25449.5
849,153,2,48814,24407.0
849,155,2,59999,29999.5
849,808,2,49052,24526.0
849,813,3,74379,24793.0
849,814,3,103374,34458.0
849,815,2,51005,25502.5
849,816,2,54170,27085.0
849,817,2,52814,26407.0
850,1,3,61881,20627.0
850,3,3,61370,20456.666666666668
850,4,3,60440,20146.666666666668
850,5,2,43263,21631.5
850,10,2,43504,21752.0
850,13,3,62432,20810.666666666668
850,16,2,41718,20859.0
850,17,3,62063,20687.666666666668
850,18,1,20952,20952.0
850,20,3,60778,20259.333333333332
850,24,1,22048,22048.0
850,30,3,60997,20332.333333333332
850,67,2,48255,24127.5
850,153,2,42751,21375.5
850,155,2,42149,21074.5
850,808,2,42021,21010.5
850,812,3,76668,25556.0
850,813,2,42658,21329.0
850,814,2,46211,23105.5
850,815,2,48892,24446.0
850,816,2,44350,22175.0
850,817,2,46372,23186.0
851,1,6,119200,19866.666666666668
851,2,2,46805,23402.5
851,3,4,84513,21128.25
851,4,4,86156,21539.0
851,5,5,109988,21997.6
851,10,3,63764,21254.666666666668
851,13,4,87041,21760.25
851,15,1,23118,23118.0
851,16,4,85790,21447.5
851,17,5,103364,20672.8
851,18,3,62897,20965.666666666668
851,20,3,60965,20321.666666666668
851,22,5,122572,24514.4
851,24,5,119441,23888.2
851,30,2,42019,21009.5
851,67,3,64169,21389.666666666668
851,153,3,67631,22543.666666666668
851,155,3,67835,22611.666666666668
851,808,4,92688,23172.0
851,813,5,103850,20770.0
851,814,3,63998,21332.666666666668
851,815,4,76903,19225.75
851,816,4,118572,29643.0
851,817,3,68058,22686.0
852,1,1,21895,21895.0
852,3,2,44261,22130.5
852,4,2,42237,21118.5
852,5,3,72854,24284.666666666668
852,10,4,94931,23732.75
852,13,3,65608,21869.333333333332
852,15,2,43643,21821.5
852,16,2,43756,21878.0
852,17,2,41962,20981.0
852,18,3,69442,23147.333333333332
852,20,3,63095,21031.666666666668
852,22,3,91049,30349.666666666668
852,24,2,52725,26362.5
852,30,3,61698,20566.0
852,155,2,45430,22715.0
852,808,2,43374,21687.0
852,811,3,65519,21839.666666666668
852,813,2,43724,21862.0
852,814,2,42684,21342.0
852,815,3,64064,21354.666666666668
852,816,2,45053,22526.5
852,817,1,23780,23780.0
853,1,2,43959,21979.5
853,4,2,44528,22264.0
853,5,2,45909,22954.5
853,10,2,47931,23965.5
853,13,2,43969,21984.5
853,15,2,53811,26905.5
853,18,2,43755,21877.5
853,20,2,43502,21751.0
853,22,2,52571,26285.5
853,30,2,44723,22361.5
853,67,2,48320,24160.0
853,153,2,44267,22133.5
853,155,2,50489,25244.5
853,811,3,67952,22650.666666666668
853,813,2,45677,22838.5
853,814,2,44939,22469.5
853,817,2,1035495,517747.5
854,1,5,148522,29704.4
854,3,3,89227,29742.333333333332
854,4,3,90980,30326.666666666668
854,5,3,95030,31676.666666666668
854,13,4,124102,31025.5
854,15,3,95533,31844.333333333332
854,16,2,64136,32068.0
854,17,3,92079,30693.0
854,18,3,90395,30131.666666666668
854,20,3,91628,30542.666666666668
854,22,2,61000,30500.0
854,24,4,141058,35264.5
854,30,2,59083,29541.5
854,67,3,96960,32320.0
854,153,3,87083,29027.666666666668
854,155,4,117650,29412.5
854,808,3,91917,30639.0
854,811,4,134073,33518.25
854,813,3,91552,30517.333333333332
854,814,2,60468,30234.0
854,815,2,64154,32077.0
854,816,2,63355,31677.5
854,817,3,112010,37336.666666666664
855,1,3,65204,21734.666666666668
855,3,3,62049,20683.0
855,4,3,63197,21065.666666666668
855,5,3,65463,21821.0
855,10,3,70166,23388.666666666668
855,13,3,63627,21209.0
855,15,3,66025,22008.333333333332
855,16,3,64687,21562.333333333332
855,17,3,64644,21548.0
855,18,3,62805,20935.0
855,20,3,65675,21891.666666666668
855,22,3,66756,22252.0
855,24,3,75591,25197.0
855,30,3,64116,21372.0
855,67,1,21849,21849.0
855,153,2,44376,22188.0
855,155,2,46562,23281.0
855,808,2,42136,21068.0
855,811,2,48393,24196.5
855,813,3,63426,21142.0
855,814,3,65481,21827.0
855,815,2,46116,23058.0
855,816,3,69540,23180.0
855,817,3,69805,23268.333333333332
856,1,2,41430,20715.0
856,3,2,40863,20431.5
856,4,2,41617,20808.5
856,5,2,44620,22310.0
856,10,2,45014,22507.0
856,13,2,44722,22361.0
856,15,2,45292,22646.0
856,16,2,46736,23368.0
