raceId,driverId,milliseconds
852,3,22130.5
852,4,21118.5
852,5,24284.666666666668
852,10,23732.75
852,13,21869.333333333332
852,15,21821.5
852,16,21878.0
852,17,20981.0
852,18,23147.333333333332
852,20,21031.666666666668
852,22,30349.666666666668
852,24,26362.5
852,30,20566.0
852,155,22715.0
852,808,21687.0
852,811,21839.666666666668
852,813,21862.0
852,814,21342.0
852,815,21354.666666666668
852,816,22526.5
852,817,23780.0
853,1,21979.5
853,4,22264.0
853,5,22954.5
853,10,23965.5
853,13,21984.5
853,15,26905.5
853,18,21877.5
853,20,21751.0
853,22,26285.5
853,30,22361.5
853,67,24160.0
853,153,22133.5
853,155,25244.5
853,811,22650.666666666668
853,813,22838.5
853,814,22469.5
853,817,517747.5
854,1,29704.4
854,3,29742.333333333332
854,4,30326.666666666668
854,5,31676.666666666668
854,13,31025.5
854,15,31844.333333333332
854,16,32068.0
854,17,30693.0
854,18,30131.666666666668
854,20,30542.666666666668
854,22,30500.0
854,24,35264.5
854,30,29541.5
854,67,32320.0
854,153,29027.666666666668
854,155,29412.5
854,808,30639.0
854,811,33518.25
854,813,30517.333333333332
854,814,30234.0
854,815,32077.0
854,816,31677.5
854,817,37336.666666666664
855,1,21734.666666666668
855,3,20683.0
855,4,21065.666666666668
855,5,21821.0
855,10,23388.666666666668
855,13,21209.0
855,15,22008.333333333332
855,16,21562.333333333332
855,17,21548.0
855,18,20935.0
855,20,21891.666666666668
855,22,22252.0
855,24,25197.0
855,30,21372.0
855,67,21849.0
855,153,22188.0
855,155,23281.0
855,808,21068.0
855,811,24196.5
855,813,21142.0
855,814,21827.0
855,815,23058.0
855,816,23180.0
855,817,23268.333333333332
856,1,20715.0
856,3,20431.5
856,4,20808.5
856,5,22310.0
856,10,22507.0
856,13,22361.0
856,15,22646.0
856,16,23368.0
856,17,20814.0
856,18,20762.0
856,20,20077.5
856,22,22034.5
856,24,24005.0
856,30,20238.0
856,67,22045.0
856,153,22313.0
856,155,22891.0
856,808,21478.0
856,811,21528.0
856,813,19196.0
856,814,21567.5
856,815,21527.0
856,816,24658.5
856,817,22655.5
857,1,23965.0
857,3,22063.5
857,4,21814.0
857,5,22113.5
857,10,27378.0
857,13,21462.0
857,15,29259.333333333332
857,16,21700.5
857,17,21316.0
857,18,21465.0
857,20,21432.0
857,22,27994.5
857,30,21187.5
857,39,23825.5
857,67,22579.0
857,153,22970.0
857,808,24828.0
857,811,21933.5
857,814,22219.666666666668
857,815,23732.5
857,816,22579.5
857,817,32025.666666666668
858,1,19394.5
858,3,19846.0
858,4,20762.5
858,5,20899.0
858,10,21176.5
858,13,20253.0
858,15,20807.5
858,16,20485.0
858,17,21569.0
858,18,20604.5
858,22,22376.5
858,24,21247.0
858,30,20149.0
858,153,32468.5
858,155,21470.5
858,808,20353.0
858,811,18057.0
858,813,16549.0
858,814,20216.0
858,815,22316.5
858,817,22442.5
859,1,20725.333333333332
859,3,20715.5
859,4,20729.666666666668
859,5,22115.0
859,10,22452.0
859,13,21374.5
859,15,22085.5
859,16,21045.0
859,17,20842.0
859,18,21542.0
859,20,21224.333333333332
859,22,21921.666666666668
859,24,22831.0
859,30,22545.333333333332
859,67,22439.0
859,153,22314.0
859,155,23174.0
859,808,22017.333333333332
859,811,20336.5
859,813,21561.0
859,814,21256.0
859,815,21779.0
859,816,22700.5
859,817,23188.5
860,1,23163.0
860,3,23110.0
860,4,21972.5
860,5,25955.0
860,8,24095.5
860,10,25684.0
860,13,22314.666666666668
860,17,23108.5
860,18,23056.0
860,20,24193.5
860,155,24754.0
860,808,24579.0
860,811,26421.333333333332
860,813,23296.5
860,814,24756.0
860,815,23882.0
860,817,26641.333333333332
860,818,23386.0
860,819,30458.333333333332
861,1,26190.0
861,3,24270.0
861,4,23350.333333333332
861,5,28922.75
861,8,25856.666666666668
861,10,25382.0
861,13,24629.5
861,17,24700.333333333332
861,18,26746.0
861,20,24649.25
861,30,23696.0
861,37,27684.666666666668
861,39,32288.0
861,155,26013.0
861,807,23587.666666666668
861,808,28137.333333333332
861,811,26519.75
861,813,23634.75
861,814,23006.333333333332
861,815,24911.333333333332
861,817,24066.75
861,818,23779.5
861,819,32694.333333333332
862,1,20590.333333333332
862,3,20879.0
862,4,20152.0
862,5,27689.0
862,8,21463.5
862,10,21421.0
862,13,20150.5
862,17,20440.666666666668
862,18,22551.666666666668
862,20,21297.5
862,30,21746.0
862,37,23561.0
862,39,24044.0
862,154,23509.5
862,155,21452.666666666668
862,807,26717.0
862,808,21929.0
862,811,21253.5
862,813,21399.0
862,814,20696.5
862,815,22787.0
862,817,22101.0
862,818,22996.333333333332
862,819,19955.333333333332
863,1,27553.0
863,3,22339.666666666668
863,4,22916.666666666668
863,5,23795.5
863,8,22457.0
863,10,25334.666666666668
863,13,22486.0
863,17,22196.666666666668
863,18,22961.25
863,20,22178.0
863,30,22092.0
863,37,24060.333333333332
863,39,25458.5
863,154,22968.333333333332
863,155,24340.666666666668
863,807,22473.0
863,808,23333.0
863,811,22837.0
863,813,22599.0
863,814,22276.0
863,815,23253.333333333332
863,817,23539.666666666668
863,818,22785.666666666668
863,819,24020.0
864,1,20971.5
864,3,20252.666666666668
864,4,19863.0
864,5,21710.333333333332
864,8,20383.666666666668
864,10,20884.333333333332
864,13,18933.25
864,17,21704.0
864,18,20427.333333333332
864,20,19711.75
864,30,20113.0
864,37,21856.0
864,39,22016.5
864,154,20824.333333333332
864,155,21317.333333333332
864,807,20531.333333333332
864,808,23248.333333333332
864,813,21222.333333333332
864,814,20511.333333333332
864,815,23816.666666666668
864,817,20424.666666666668
864,818,21164.333333333332
864,819,21137.0
865,1,25748.0
865,3,24874.0
865,4,25220.0
865,5,28679.5
865,8,26380.0
865,10,31035.0
865,13,24993.0
865,17,25566.0
865,18,25219.0
865,20,25079.0
865,30,25117.0
865,39,27139.5
865,155,28390.0
865,807,26447.0
865,808,39391.0
865,811,26410.0
865,814,25642.0
865,815,22671.5
865,817,25335.0
865,818,26110.0
865,819,27186.0
866,1,21952.5
866,3,21200.5
866,4,21133.0
866,5,21718.5
866,8,21534.0
866,10,25520.0
866,13,21121.5
866,17,21226.5
866,18,21652.0
866,20,22033.5
866,30,22165.5
866,154,21830.0
866,155,21453.0
866,807,24121.5
866,808,21645.5
866,811,22781.0
866,813,22704.0
866,814,21611.5
866,815,21407.0
866,817,21623.5
866,818,20027.333333333332
866,819,23291.0
867,1,25218.0
867,3,20370.0
867,4,20253.5
867,5,22742.5
867,8,21491.0
867,13,25035.25
867,17,20234.0
867,18,19943.0
867,20,20190.0
867,30,20259.0
867,37,23126.0
867,39,21360.0
